,city,street,housenumber,lon,lat
1,москва,дмитровское шоссе,165б,37.540055341666665,55.91616375
2,москва,правобережная улица,1б,37.44923957,55.88083407666666
6,москва,пришвина улица,22,37.60219504444443,55.885689227777775
7,москва,аэродромная улица,9,37.43004685555556,55.84704454444445
8,москва,аэродромная улица,5,37.43134186,55.84570496
9,москва,туристская улица,2к5,37.42668619090909,55.84563659090909
10,москва,туристская улица,4к5,37.42632862727274,55.84695170909091
11,москва,туристская улица,6к1,37.42421371428571,55.84749158571429
12,москва,туристская улица,6к2,37.42435283636364,55.847716227272734
13,москва,туристская улица,6к3,37.42452006363636,55.84799094545454
14,москва,туристская улица,6к4,37.42468188,55.84830231000001
15,москва,яна райниса бульвар,19к2,37.42762295882353,55.84803434705882
16,москва,яна райниса бульвар,17к1,37.43029229999999,55.84876976
17,москва,яна райниса бульвар,15,37.43104588888889,55.84881275555554
18,москва,аэродромная улица,15,37.43183609,55.848943199999994
19,москва,митинская улица,40к3,37.361111345454546,55.84765210909091
20,москва,митинская улица,40к1,37.36143907560976,55.84816768536585
21,москва,митинская улица,42,37.359325088888895,55.84829441481482
22,москва,аэродромная улица,11,37.43241856666666,55.84664986666667
23,москва,аэродромная улица,3,37.4304724,55.845671849999995
24,москва,аэродромная улица,1,37.430582816666664,55.845348349999995
25,москва,аэродромная улица,7,37.43048727142857,55.846091471428565
26,москва,фабрициуса улица,50,37.4271183875,55.84468945
27,москва,фабрициуса улица,48,37.42787448888889,55.84441252222223
28,москва,фабрициуса улица,46,37.428826712500005,55.8445862
29,москва,пятницкое шоссе,3,37.385898842857145,55.83588464285714
30,москва,фабрициуса улица,44к2,37.43018525,55.84472259999999
31,москва,трикотажный проезд,3,37.39705112,55.83585083999999
32,москва,светлогорский проезд,13,37.39781045294117,55.84854217058824
42,москва,генерала белобородова улица,29,37.356437449999994,55.83216175
45,москва,аэродромная улица,15к1,37.43153034444444,55.8481708
46,москва,туристская улица,3,37.42375638888889,55.845462533333325
47,москва,туристская улица,7,37.423322000000006,55.84669772222222
48,москва,туристская улица,11,37.422943466666666,55.847913255555554
49,москва,яна райниса бульвар,29,37.42168152307692,55.84816485384614
50,москва,туристская улица,11к2,37.42141622727273,55.8475495909091
51,москва,митинская улица,48,37.35523133513514,55.8505980081081
53,москва,пятницкое шоссе,35,37.36007613137255,55.85293361176471
54,москва,пятницкое шоссе,31,37.36279719891304,55.8513000076087
55,москва,митинская улица,40к2,37.36092905454546,55.84902955454545
56,москва,пятницкое шоссе,29к3,37.36162482142856,55.84963466428571
57,москва,митинская улица,46к1,37.358324780487806,55.84925301219514
58,москва,пятницкое шоссе,37к1,37.355460665517235,55.85418827931035
59,москва,пятницкое шоссе,35к1,37.358147305,55.852915155000005
60,москва,пятницкое шоссе,33,37.36067598,55.851643769999995
61,москва,саломеи нерис улица,6с2,37.39847488,55.85175582000001
62,москва,донелайтиса проезд,36,37.41905416666667,55.84755382222223
63,москва,донелайтиса проезд,34,37.41936795555555,55.847134188888894
64,москва,донелайтиса проезд,32,37.41995046666667,55.84666565555555
65,москва,донелайтиса проезд,30,37.420383,55.84618402222222
66,москва,донелайтиса проезд,28,37.42077667777778,55.845535299999995
67,москва,донелайтиса проезд,26,37.42111246666666,55.84501283333334
68,москва,фабрициуса улица,56к1,37.4222026375,55.8447302875
69,москва,туристская улица,1,37.42355457272728,55.84476469090908
70,москва,туристская улица,5,37.4231590375,55.84609251249999
71,москва,туристская улица,9,37.4226826125,55.84726945
72,москва,донелайтиса проезд,38,37.42025762222222,55.847927033333335
73,москва,туристская улица,13к1,37.421697685714285,55.849372557142864
74,москва,туристская улица,21,37.42100692222223,55.85310401111111
